Query_number,doc_number
1,136750
1,339944
1,77558
1,200216
1,27341
1,130871
1,244479
1,481153
1,278872
1,462997
2,297808
2,427690
2,127923
2,284860
2,389103
2,290521
2,500758
2,52192
2,224305
2,12807
3,412243
3,7934
3,393818
3,446120
3,389228
3,5024
3,253160
3,230648
3,109735
3,302581
4,368176
4,382280
4,377145
4,288508
4,31643
4,147717
4,22112
4,408320
4,215320
4,183683
5,275177
5,423078
5,101962
5,472035
5,322512
5,228885
5,81853
5,234992
5,370421
5,121784
6,353204
6,154197
6,189568
6,258641
6,439547
6,431351
6,248947
6,132127
6,262708
6,157261
7,444818
7,296799
7,485213
7,453178
7,92880
7,360126
7,116743
7,108290
7,298216
7,94756
8,55341
8,415854
8,495205
8,219869
8,63260
8,472072
8,287184
8,403438
8,334887
8,323435
9,258409
9,363675
9,14015
9,382221
9,498709
9,359521
9,425198
9,486865
9,448864
9,102770
10,297761
10,89072
10,340377
10,67533
10,237551
10,216245
10,391119
10,374419
10,205076
10,9488
11,43990
11,275918
11,466378
11,327705
11,106155
11,155218
11,49893
11,411251
11,241406
11,165171
12,347188
12,162406
12,250938
12,357779
12,209061
12,363692
12,188302
12,445561
12,12396
12,164041
13,445236
13,412373
13,38966
13,29308
13,420651
13,287137
13,54200
13,293247
13,481938
13,40843
14,482219
14,52967
14,341499
14,262708
14,315346
14,98162
14,151537
14,27785
14,85051
14,474974
15,53396
15,14387
15,206700
15,271330
15,331793
15,346231
15,184067
15,34553
15,405104
15,442250
16,162017
16,462698
16,20242
16,174086
16,449489
16,323366
16,147704
16,144055
16,410651
16,368222
17,429186
17,419231
17,280811
17,107586
17,304484
17,190614
17,476354
17,173814
17,451448
17,362324
18,426872
18,179059
18,223887
18,13449
18,96953
18,19726
18,350565
18,289586
18,62663
18,273288
19,50831
19,200634
19,5887
19,342368
19,98120
19,241846
19,277203
19,7174
19,128749
19,52811
20,367237
20,209544
20,468119
20,197720
20,161464
20,311161
20,292650
20,204672
20,321428
20,439506
21,229100
21,218008
21,250951
21,325730
21,131267
21,367532
21,73600
21,389777
21,438632
21,127566
22,203340
22,26765
22,278511
22,113758
22,194090
22,139205
22,500194
22,257469
22,462654
22,433246
23,207390
23,419893
23,178352
23,303247
23,129160
23,92263
23,52188
23,120663
23,164998
23,376647
24,467061
24,281834
24,451396
24,27099
24,95484
24,167147
24,139998
24,388815
24,294233
24,320100
25,150286
25,181510
25,236969
25,100578
25,28377
25,314242
25,9226
25,381308
25,217912
25,345319
26,314902
26,94651
26,334314
26,486604
26,451987
26,292416
26,88548
26,318341
26,270436
26,191631
27,279448
27,141729
27,268658
27,405180
27,299523
27,51164
27,412256
27,345619
27,277419
27,100447
28,10057
28,403359
28,390861
28,473982
28,328501
28,457684
28,67638
28,292675
28,441422
28,189580
29,134929
29,183536
29,51481
29,215162
29,177542
29,448073
29,174789
29,464269
29,172460
29,229075
30,290351
30,458067
30,171306
30,365299
30,343204
30,138348
30,351135
30,454675
30,180066
30,387457
31,323226
31,426330
31,187575
31,263789
31,410953
31,449455
31,415795
31,110763
31,75205
31,386581
32,323197
32,276378
32,123573
32,138552
32,444490
32,18388
32,41366
32,139660
32,268166
32,307971
33,180557
33,344066
33,348784
33,374817
33,378214
33,372234
33,272650
33,271531
33,79997
33,433703
34,485600
34,486155
34,22255
34,479030
34,228901
34,31760
34,331117
34,89059
34,33957
34,438027
35,255934
35,368449
35,388535
35,352571
35,14169
35,23268
35,499641
35,455889
35,410184
35,63958
36,394974
36,367447
36,250789
36,268490
36,245994
36,210099
36,424466
36,68452
36,349149
36,130490
37,189078
37,161112
37,89540
37,256130
37,38642
37,11073
37,276877
37,315284
37,242387
37,499236
38,212820
38,99750
38,157086
38,405600
38,435090
38,174593
38,194751
38,337484
38,332546
38,480703
39,270699
39,352537
39,294135
39,92433
39,219522
39,226012
39,81733
39,62160
39,206459
39,385092
40,234582
40,100858
40,497428
40,80236
40,123402
40,145319
40,90906
40,216539
40,392917
40,335267
41,231053
41,91477
41,255367
41,486591
41,270625
41,462945
41,367196
41,319125
41,139111
41,385808
42,208993
42,132139
42,381527
42,432158
42,225657
42,341037
42,192717
42,247726
42,122219
42,301022
43,270062
43,52999
43,114395
43,198150
43,165246
43,171753
43,351331
43,305246
43,456235
43,220717
44,491003
44,22010
44,489273
44,431409
44,201682
44,381182
44,491788
44,425537
44,248473
44,410915
45,49059
45,413838
45,83702
45,13444
45,38743
45,500550
45,242835
45,269838
45,14995
45,453947
46,340499
46,117779
46,419
46,67388
46,163370
46,246355
46,138744
46,204041
46,189192
46,420155
47,240220
47,490770
47,261854
47,322661
47,450206
47,107139
47,223435
47,24136
47,343370
47,408842
48,377852
48,295651
48,62861
48,72367
48,71786
48,170205
48,491144
48,365043
48,144509
48,460410
49,131365
49,111656
49,438506
49,230519
49,26389
49,164484
49,106731
49,293548
49,357734
49,352508
50,211267
50,701
50,235254
50,135777
50,248974
50,169508
50,7952
50,316701
50,322985
50,256521
51,300595
51,295430
51,307150
51,168658
51,384781
51,304989
51,216059
51,273343
51,80112
51,357166
52,422960
52,79102
52,199213
52,357799
52,491003
52,467823
52,372701
52,264798
52,19554
52,5239
53,216385
53,138642
53,219307
53,207674
53,137293
53,387297
53,119732
53,2084
53,194610
53,326558
54,299181
54,151150
54,434368
54,240293
54,428401
54,213784
54,212299
54,314230
54,341029
54,341547
55,85782
55,191449
55,468603
55,73302
55,89602
55,440603
55,181281
55,501291
55,35154
55,49028
56,223379
56,75978
56,216628
56,65996
56,155274
56,376177
56,316230
56,256588
56,385079
56,119313
57,194349
57,287255
57,499838
57,8502
57,856
57,39744
57,15177
57,188873
57,38965
57,298359
58,201226
58,314087
58,154839
58,29243
58,403868
58,409750
58,116357
58,222904
58,487910
58,120793
59,310755
59,336385
59,338364
59,206387
59,284376
59,149767
59,385381
59,285357
59,23059
59,478284
60,229677
60,4136
60,125593
60,202192
60,428845
60,457549
60,141349
60,288530
60,280980
60,27437
61,112372
61,202274
61,217836
61,363217
61,137328
61,221257
61,237034
61,193946
61,215155
61,447297
62,99303
62,289702
62,228792
62,373373
62,130236
62,29034
62,15484
62,466737
62,315789
62,20923
63,304514
63,305251
63,62034
63,282003
63,213611
63,355378
63,269211
63,425305
63,135521
63,297220
64,378520
64,278735
64,105741
64,273456
64,387355
64,139856
64,202162
64,219822
64,143642
64,164348
65,150109
65,171466
65,60870
65,467648
65,407956
65,362084
65,259409
65,106402
65,356400
65,260294
66,229986
66,340017
66,60047
66,25337
66,402868
66,107216
66,19962
66,260140
66,183439
66,381134
67,181326
67,423386
67,269782
67,23288
67,360971
67,368345
67,200178
67,24985
67,351387
67,363830
68,281908
68,379148
68,3152
68,478414
68,226126
68,353217
68,471136
68,166403
68,395130
68,114812
69,274100
69,13547
69,223255
69,449561
69,299315
69,151812
69,404810
69,253093
69,425554
69,162782
70,17055
70,455175
70,28845
70,359721
70,252596
70,273929
70,102922
70,272897
70,331185
70,331430
71,70553
71,320040
71,286882
71,27829
71,90208
71,148420
71,467913
71,151168
71,453546
71,132540
72,63207
72,127893
72,78449
72,133114
72,382245
72,381117
72,219593
72,253271
72,14531
72,338381
73,108032
73,90666
73,272937
73,496844
73,492315
73,435904
73,490982
73,464656
73,1501
73,267712
74,285247
74,122153
74,327532
74,462945
74,136995
74,461655
74,53287
74,206245
74,48784
74,51076
75,233063
75,198872
75,488401
75,244177
75,261978
75,470268
75,462457
75,109610
75,144735
75,157014
76,263644
76,429577
76,440570
76,206477
76,269432
76,259577
76,419839
76,485901
76,41159
76,235442
77,355742
77,117516
77,213091
77,114780
77,486517
77,134499
77,157199
77,86426
77,397406
77,297708
78,36506
78,265587
78,172031
78,334959
78,180590
78,423202
78,222994
78,10942
78,387322
78,161289
79,435146
79,89739
79,162905
79,215507
79,492715
79,414470
79,308674
79,280265
79,370981
79,494425
80,414531
80,330619
80,44503
80,307384
80,40929
80,382238
80,403953
80,262540
80,312154
80,181442
81,251639
81,129265
81,101966
81,182637
81,375639
81,496335
81,394911
81,218661
81,134913
81,468979
82,431058
82,245800
82,228353
82,781
82,148073
82,73494
82,247970
82,1198
82,322891
82,295983
83,58669
83,191643
83,236335
83,443275
83,13770
83,76068
83,429671
83,310767
83,72607
83,463507
84,157815
84,437127
84,303629
84,92040
84,206243
84,476110
84,422857
84,321511
84,410254
84,380136
85,133394
85,281556
85,141894
85,43083
85,293225
85,326786
85,412816
85,485741
85,77981
85,22477
86,390721
86,273061
86,398083
86,403560
86,275519
86,305295
86,56816
86,195964
86,228252
86,489959
87,106784
87,101578
87,242584
87,166029
87,81404
87,281166
87,480842
87,258082
87,342881
87,220948
88,203340
88,136749
88,252150
88,124778
88,338347
88,433867
88,21937
88,38119
88,24686
88,324976
89,103017
89,53766
89,32041
89,265155
89,54860
89,346860
89,378374
89,447155
89,481791
89,29012
90,387263
90,401144
90,169851
90,430912
90,45279
90,431745
90,351702
90,125288
90,127554
90,338432
91,283512
91,317361
91,371485
91,304565
91,229701
91,171688
91,425939
91,318935
91,116779
91,453413
92,282528
92,278791
92,206080
92,291326
92,190686
92,489650
92,403678
92,361575
92,289507
92,251851
93,78555
93,89935
93,29557
93,239671
93,449715
93,381238
93,137871
93,154267
93,37679
93,129374
94,315371
94,442822
94,404541
94,395958
94,24804
94,135237
94,316045
94,35216
94,448858
94,233278
95,439980
95,280775
95,284161
